country,region,source,segment,type,abatement,savings (kt),cost (USD/GJ)
United Kingdom,Europe,Drainage systems,Underground,Met,CMM utilisation,1.38,-31.08
Poland,Europe,Drainage systems,Underground,Met,CMM utilisation,58.05,-14
Poland,Europe,Drainage systems,Underground,Thermal,CMM utilisation,60.94,-13.75
Other EU17 countries,Europe,Drainage systems,Underground,Thermal,CMM utilisation,3.39,-9.83
Colombia,Central and South America,Drainage systems,Underground,Met,CMM utilisation,4.81,-9.23
India,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,23.9,-7.64
China,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,2741.56,-7.56
China,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,1176.49,-7.24
Germany,Europe,Drainage systems,Surface,Thermal,CMM utilisation,1.04,-6.55
India,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,34.12,-6.49
Other countries in Southeast Asia,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,33.45,-4.62
Colombia,Central and South America,Other losses,Surface,Thermal,Capture and route to abatement system,23.29,-3.84
Viet Nam,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,68.28,-3.47
China,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,140.11,-3.4
Other countries not included in regions,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,117.85,-3.39
Mexico,North America,Drainage systems,Underground,Thermal,CMM utilisation,3.69,-2.99
India,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,128.81,-2.79
India,Asia Pacific,Drainage systems,Surface,Met,CMM utilisation,9.41,-2.54
Poland,Europe,Other losses,Underground,Thermal,Capture and route to abatement system,6.1,-2.44
Poland,Europe,Other losses,Underground,Met,Capture and route to abatement system,7.86,-2.32
Mongolia,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,21.82,-2.14
Other countries not included in regions,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,13.8,-2.09
Mozambique,Africa,Other losses,Surface,Thermal,Capture and route to abatement system,3.17,-2.08
Other countries not included in regions,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,2.18,-2.03
Mongolia,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,6.53,-1.76
Viet Nam,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,11.07,-1.65
Poland,Europe,Drainage systems,Surface,Thermal,CMM utilisation,6.93,-1.64
Other countries in Europe,Europe,Drainage systems,Underground,Thermal,CMM utilisation,3.15,-1.22
Mozambique,Africa,Other losses,Surface,Met,Capture and route to abatement system,3.35,-1.01
Other countries in Southeast Asia,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,4.72,-1
Poland,Europe,Other losses,Surface,Thermal,Capture and route to abatement system,1.95,-0.97
India,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,1.6,-0.83
Colombia,Central and South America,Drainage systems,Surface,Thermal,CMM utilisation,35.83,-0.75
Viet Nam,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,3.05,-0.74
Ukraine,Europe,Other losses,Underground,Thermal,Capture and route to abatement system,1.62,-0.67
China,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,6.01,-0.6
Colombia,Central and South America,Other losses,Underground,Met,Capture and route to abatement system,0.76,-0.58
