country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
India,Asia Pacific,Satellite - upstream,Upstream,Gas,Daily LDAR,37.68,-7.86
China,Asia Pacific,Satellite - upstream,Upstream,Gas,Daily LDAR,10.08,-7.78
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.04,-7.59
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-7.59
China,Asia Pacific,Unconventional gas,Upstream,Gas,Annual LDAR,3.78,-7.37
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,1.72,-7.37
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,3.11,-7.37
India,Asia Pacific,Unconventional gas,Upstream,Gas,Annual LDAR,0.26,-7.36
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.45,-7.36
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.87,-7.36
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.02,-7.27
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.12,-7.23
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,1.23,-7.23
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.12,-7.22
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.02,-7.22
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,22.22,-7.19
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,2.11,-7.19
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,9.34,-7.16
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,5.17,-7.16
China,Asia Pacific,Unconventional gas,Upstream,Gas,Biannual LDAR,11.33,-7.16
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,2.62,-7.14
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,1.34,-7.14
India,Asia Pacific,Unconventional gas,Upstream,Gas,Biannual LDAR,0.78,-7.14
China,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,2.37,-7.13
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.01,-7.12
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.03,-7.12
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.16,-7.12
India,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,10.85,-7.11
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.04,-7.11
India,Asia Pacific,Unconventional gas,Upstream,Gas,Replace with instrument air systems,0.02,-7.11
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.35,-7.1
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,3.7,-7.1
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.03,-7.09
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.03,-7.09
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.25,-7.07
India,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,19.32,-7.05
Ukraine,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.46,-7.03
South Africa,Africa,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.03,-7.03
Poland,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.06,-7.03
Poland,Europe,Unconventional gas,Upstream,Gas,Annual LDAR,0.02,-7.03
Poland,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-7.03
Poland,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.41,-7.02
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,1.42,-7.02
India,Asia Pacific,Satellite - downstream,Downstream,Oil,Daily LDAR,150.72,-7.01
Poland,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.37,-6.97
Poland,Europe,Unconventional gas,Upstream,Gas,Replace pumps,0.09,-6.97
Italy,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,1.42,-6.96
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.16,-6.95
Other EU17 countries,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,4.18,-6.94
Estonia,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-6.94
Germany,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.41,-6.93
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.49,-6.93
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.09,-6.93
Netherlands,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.03,-6.93
South Africa,Africa,Offshore oil,Upstream,Oil,Continuous LDAR,0.04,-6.92
Ukraine,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,1.06,-6.92
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,15.7,-6.92
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,8.03,-6.92
India,Asia Pacific,Unconventional gas,Upstream,Gas,Continuous LDAR,4.66,-6.92
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,31.03,-6.92
China,Asia Pacific,Unconventional gas,Upstream,Gas,Continuous LDAR,67.96,-6.92
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,56.05,-6.92
China,Asia Pacific,Satellite - downstream,Downstream,Oil,Daily LDAR,10.08,-6.92
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-6.91
